category,region,distance,time_required,level,course_name,point_number,point_name,long_,lat_
생태문화길,광진구성동구,8.82km,3시간30분,2,서울숲 남산 나들길,850,버티고개,127.0035759,37.54693663
한강지천길/계절길,동대문구,3.57Km,1시간,1,정릉천길,1073,제기동역 지하철 1호선,127.0348788,37.5781265
한강지천길/계절길,동대문구,3.57Km,1시간,1,정릉천길,1079,선농단,127.0320238,37.58101298
한강지천길/계절길,동대문구,3.57Km,1시간,1,정릉천길,1078,세종대왕기념관,127.0434613,37.59075031
한강지천길/계절길,동대문구,3.57Km,1시간,1,정릉천길,1077,서울약령시장,127.0373053,37.57915498
한강지천길/계절길,동대문구,3.57Km,1시간,1,정릉천길,1076,코업스타클래스 인근,127.0398227,37.60133609
한강지천길/계절길,동대문구,3.57Km,1시간,1,정릉천길,1075,고산자로58길 인근,127.0375769,37.58853907
한강지천길/계절길,동대문구,3.57Km,1시간,1,정릉천길,1074,제기로9길 인근,127.0368661,37.58717628
생태문화길,동대문구,1.83km,1시간,1,홍릉수목원길,836,지하철정류장(고려대역3번출입구),127.0365155,37.59036535
생태문화길,동대문구,1.83km,1시간,1,홍릉수목원길,837,홍릉수목원 입구,127.0426936,37.59165042
생태문화길,동대문구,1.83km,1시간,1,홍릉수목원길,838,조경인의 숲,127.0444637,37.59724579
생태문화길,동대문구,3.51km,2시간,2,배봉산 답십리 나들길,829,버스정류장(배봉초등학교앞),127.0674619,37.57869797
생태문화길,동대문구,3.51km,2시간,2,배봉산 답십리 나들길,828,버스정류장(답십리2동한양아파트앞),127.0611854,37.57298118
생태문화길,동대문구,3.51km,2시간,2,배봉산 답십리 나들길,827,전농중학교 후문,127.0603445,37.5819251
